source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'GSMArena.com'}",Peter,"Deals: the Galaxy S24 and Pixel 9 fall to the same price, Pixel 9 Pro also gets a price cut - GSMArena.com news - GSMArena.com",The Samsung and Google flagships are $200 to $250 off right now. Amazon has great discounts on flagship devices from Samsung and Google as we prepare for...,https://www.gsmarena.com/deals_the_galaxy_s24_and_pixel_9_fall_to_the_same_price_pixel_9_pro_also_gets_a_price_cut-news-65806.php,https://fdn.gsmarena.com/imgroot/news/24/12/weekly-deals-19/-952x498w6/gsmarena_ca.jpg,2024-12-21T19:21:01Z,"Amazon has great discounts on flagship devices from Samsung and Google as we prepare for the holidays and to wave goodbye to 2024.
The Samsung Galaxy S24 is currently $200 off and so is the Google P… [+1605 chars]"
"{'id': None, 'name': 'Thegamepost.com'}",,Sony Absorbs More Of Bungie: Strategic Partnerships Team Joins PlayStation’s Franchise Development Division - TheGamePost,"Bungie’s Strategic Partnerships team has officially transitioned to PlayStation’s Franchise Development division, marking another step in Bungie’s deeper integration with Sony.",https://thegamepost.com/sony-absorbs-bungie-strategic-team-playstation-ip/,https://thegamepost.com/wp-content/uploads/2024/12/sony-playstation-bungie-franchise-development-team-52178.webp,2024-12-21T17:09:25Z,"Bungies Strategic Partnerships team has officially transitioned to PlayStations Franchise Development division, marking another step in Bungies deeper integration with Sony.
Bungies integration with… [+2708 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Wes Davis,Here’s the first CoPilot plus mini PC with Intel’s new Core Ultra 9 processors - The Verge,"Asus has published the specs for the Asus NUC 14 Pro AI, its first Copilot Plus mini PC using Intel Core Ultra Series 2 processors, including the Core Ultra 9.",https://www.theverge.com/2024/12/21/24326557/asus-copilot-plus-nuc-mini-pc-intel-core-ultra-series-2-processor,https://cdn.vox-cdn.com/thumbor/K7OzZHkNRSOYIaMHxUF9xXhmwFo=/0x0:2395x1818/1200x628/filters:focal(1198x909:1199x910)/cdn.vox-cdn.com/uploads/chorus_asset/file/25800606/Asus_NUC_14_Pro_AI_front_top.jpeg,2024-12-21T16:45:57Z,"Heres the first CoPilot plus mini PC with Intels new Core Ultra 9 processors
Heres the first CoPilot plus mini PC with Intels new Core Ultra 9 processors
 / Asus officially announces the NUC 14 Pro… [+1703 chars]"
"{'id': 'cnn', 'name': 'CNN'}",Katie Hunt,‘A sort of superpower’: Unexpected revelations made possible by AI in 2024 - CNN,"Artificial intelligence came of age in 2024, helping to decode the mysteries of ancient scrolls, whale vocalizations, the building blocks of life, and more.",https://www.cnn.com/2024/12/21/science/artificial-intelligence-ai-science-2024/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/b7daa1fb-2a46-43b4-9d6f-d3ffd1f1c7be-5079x2588.jpg?c=16x9&q=w_800,c_fill",2024-12-21T16:40:00Z,"Sign up for CNNs Wonder Theory science newsletter. Explore the universe with news on fascinating discoveries, scientific advancements and more.
Charred to a crisp, the hundreds of brittle ancient sc… [+9914 chars]"
"{'id': None, 'name': 'Nintendo Life'}",Ollie Reynolds,Video: Here Are Felix's Top 5 Nintendo Switch Games Of 2024 - Nintendo Life,Felix Navidad,https://www.nintendolife.com/news/2024/12/video-here-are-felixs-top-5-nintendo-switch-games-of-2024,https://images.nintendolife.com/8a0c776b5b5ee/1280x720.jpg,2024-12-21T16:00:00Z,"Subscribe to Nintendo Life on YouTube789k
Watch on YouTube
It might not feel like Nintendo itself has been particularly busy this year, but goodness, there's still been an awful lot of new games in… [+813 chars]"
"{'id': None, 'name': 'ComicBook.com'}",Tyler Fischer,New Epic Games Store Mystery Game Free to Download for 24 Hours - ComicBook.com,"A new Epic Games Store free game is now available to download and keep, but EGS users only have 24 hours to do so.",http://comicbook.com/gaming/news/epic-games-store-free-game-mystery-download/,"https://comicbook.com/wp-content/uploads/sites/4/2024/12/epic-games-store-2.jpg?resize=2000,1125",2024-12-21T15:59:53Z,"The fourth Epic Games Store mystery free game is now available, and like the free mystery games before it, it is only available to download for 24 hours. Come this time tomorrow, December 22, it will… [+1864 chars]"
"{'id': None, 'name': 'Nintendo Life'}",Damien McFerran,"Sega Is ""Evaluating"" Its Own Netflix-Style Subscription Service - Nintendo Life","Shuji Utsumi thinks the model is ""very interesting""",https://www.nintendolife.com/news/2024/12/sega-is-evaluating-its-own-netflix-style-subscription-service,https://images.nintendolife.com/3a2cb09087c9c/1280x720.jpg,2024-12-21T15:45:00Z,"Image: Sega
Sega's Western boss has revealed that the company is internally discussing the idea of creating its own subscription-based game service.
Speaking to the BBC about subscription services … [+1043 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Brandon Widder,LG’s brilliant B4 OLED TV is on sale with a $50 gift card for its best price ever - The Verge,LG’s entry-level B4 OLED is available for $200 off at Best Buy. The latest iPad and Twelve South’s MagSafe-ready Butterfly charger are also down to an all-time low.,https://www.theverge.com/2024/12/21/24326032/lg-b4-series-oled-tv-apple-ipad-10th-gen-deal-sale,https://cdn.vox-cdn.com/thumbor/wakukBEf4cJ6U_U2qzTrmYJtDNY=/0x0:836x558/1200x628/filters:focal(418x279:419x280)/cdn.vox-cdn.com/uploads/chorus_asset/file/25799522/LG_B4_Series_OLED_TV_Lifestyle_Press_Image.jpg,2024-12-21T14:54:54Z,"LGs brilliant B4 OLED TV is on sale with a $50 gift card for its best price ever
LGs brilliant B4 OLED TV is on sale with a $50 gift card for its best price ever
 / You can also save on Twelve Sout… [+3374 chars]"
"{'id': 'the-washington-post', 'name': 'The Washington Post'}",Heather Kelly,Why some kids are getting Walkmen and CDs for Christmas - The Washington Post,"How do you let kids to listen to music without staring at more screens? These parents are starting with their own retro cassette, CDs and MP3 players.",https://www.washingtonpost.com/technology/2024/12/21/kids-music-devices/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/RAO24QSBP6UH25BWA7ILBYRE6Y_size-normalized.jpg&w=1440,2024-12-21T14:11:27Z,"During her time as a high school teacher, Alison Pappavaselio says she saw firsthand the negative impacts of unfettered technology access. When the 35-year-olds own children, now 4 and 6, showed an i… [+6964 chars]"
"{'id': None, 'name': 'TechSpot'}",Skye Jacobs,Samsung Galaxy S22 users report widespread issues after One UI 6.1 update - TechSpot,"Many users report their phones becoming trapped in boot loops, rendering them unusable. Some describe jerky display performance, while others face more severe issues that effectively brick...",https://www.techspot.com/news/106062-samsung-galaxy-s22-users-report-widespread-issues-after.html,https://www.techspot.com/images2/news/bigimage/2024/12/2024-12-21-image-8.jpg,2024-12-21T13:52:27Z,"A hot potato: A significant software update is causing problems for some Samsung Galaxy S22 users, according to complaints shared on user forums and social media. The update in question, One UI 6.1, … [+2842 chars]"
